,date,startup_name,industry_vertical,subvertical,city,investor,investment_type,amount,year,month
1776,2016-04-15,organicshop,ecommerce,marketplace for organic products,jaipur,"vivek nathani, yogesh chaudhary, mahavir pratap sharma, kamal kothari, h c jain",seed,,2016,4
1777,2016-04-15,mind your fleet,consumer internet,car rental software,noida,undisclosed,seed,,2016,4
1778,2016-04-15,nestaway,consumer internet,furnished home rental platform,bengaluru,tiger global,private equity,2489100000.0,2016,4
1779,2016-04-15,tapchief,consumer internet,expert advice platform,bengaluru,vijay shekhar sharma,seed,12445500.0,2016,4
1780,2016-04-18,rapido,consumer internet,bike aggregator app,bengaluru,"pawan munjal, advantedge partners, astarc ventures",private equity,,2016,4
1781,2016-04-18,yufta,ecommerce,women\\xe2\\x80\\x99s fashion ecommerce portal,bengaluru,ajay data & other hnis,seed,,2016,4
1782,2016-04-18,smytten,ecommerce,online discovery and shopping platform,gurgaon,rajan anandan,seed,,2016,4
1783,2016-04-18,houssup,consumer internet,interior design and home furnishing portal,jaipur,"mitin patel, gaurav agarwal",seed,,2016,4
1784,2016-04-18,jugnoo,consumer internet,on-demand delivery & logistics platform,chandigarh,paytm & existing investors,private equity,829700000.0,2016,4
1785,2016-04-18,tork motocycles,auto,electric motorcycle manufacturer,pune,"bhavish aggarwal, ankit bhati",seed,,2016,4
1786,2016-04-19,betaout,ecommerce,customer intelligence and marketing automation platform,noida,"stanford angels, letsventure, chennai angels, hyderabad angels, mumbai angels",private equity,124455000.0,2016,4
1787,2016-04-19,driverscart,consumer internet,on-demand chauffeur provider,chennai,ah! ventures,seed,37336500.0,2016,4
1788,2016-04-19,lenskart,ecommerce,eyewear etailing platform,new delhi,ratan tata,private equity,,2016,4
1789,2016-04-19,collegedekho,consumer internet,college & student information platform,new delhi,man capital,private equity,165940000.0,2016,4
1790,2016-04-19,oyofit,consumer internet,fitness services aggregator platform,bengaluru,rn agarwal,seed,,2016,4
1791,2016-04-19,oliveboard,consumer internet,online exam practice & preparation platform,bengaluru,india educational investment fund,private equity,,2016,4
1792,2016-04-19,simplilearn,consumer internet,online certification platform,bengaluru,brand capital,private equity,,2016,4
1793,2016-04-20,1mg,ecommerce,online pharmacy,gurgaon,"maverick capital ventures, sequoia capital, omidyar network",private equity,1244550000.0,2016,4
1794,2016-04-20,fashalot,consumer internet,fashion and store discovery mobile app,new delhi,"yournest angel fund, rajul garg",seed,,2016,4
1795,2016-04-20,broomberg,consumer internet,cleaning services provider,new delhi,undisclosed,seed,,2016,4
1796,2016-04-21,m.paani,consumer internet,loyalty rewards platform,mumbai,"blume ventures, adil allana, aprameya radhakrishna, gautam ivatury, signal point partners",seed,,2016,4
1797,2016-04-21,yufta,ecommerce,hyperlocal fashion retail platform,jaipur,undisclosed,seed,,2016,4
1798,2016-04-21,mishtag,consumer internet,"style, fashion discovery mobile app",new delhi,"m&y partners, svg media, anthil ventures & others",seed,,2016,4
1799,2016-04-21,advanced structures india,auto,automotive design and engineering company,bengaluru,girnarsoft,private equity,,2016,4
1800,2016-04-22,licious,ecommerce,mobile based meat ordering app,bengaluru,mayfield india ii management ltd,private equity,248910000.0,2016,4
1801,2016-04-22,knolskae,consumer internet,educational gamification & simulation platform,bengaluru,"inventus capital partners, hr fund",private equity,,2016,4
1802,2016-04-22,druva,technology,converged backup & data protection solutions for enterprises,pune,"ntt finance, telephone corporation",private equity,,2016,4
1803,2016-04-22,toko innovation studios,consumer internet,children\xe2\x80\x99s entertainment games & products,new delhi,indian angel network,seed,37336500.0,2016,4
1804,2016-04-25,commut,consumer internet,shuttle service provider,hyderabad,50k ventures,seed,16594000.0,2016,4
1805,2016-04-25,intouchapp,consumer internet,contact management mobile app,pune,blume ventures,seed,,2016,4
1806,2016-04-25,dropkaffe,food & beverage,ready-to-drink beverage producer,bengaluru,"growthstory, apurva salapuria, hitesh oberoi, sidharth pansari, nirupa shankar",seed,45633500.0,2016,4
1807,2016-04-26,transerv,consumer internet,digital payments platform,mumbai,"idfc spice fund, micromax informatics",private equity,1244550000.0,2016,4
1808,2016-04-26,cleartax,consumer internet,online filing of tax returns,bengaluru,"max levchin, scott banister",private equity,107861000.0,2016,4
1809,2016-04-26,roposo,ecommerce,social fashion ecommerce discovery platform,gurgaon,bertelsmann india investments,private equity,1244550000.0,2016,4
1810,2016-04-27,milkbasket,consumer internet,micro grocery delivery platform,gurgaon,evc ventures,seed,41485000.0,2016,4
1811,2016-04-27,careongo,consumer internet,online pharmacy,,"farooq oomerbhoy, anupam mittal, anand mittal, ravi garikipati, vibhu garg, singapore angel network, konglo ventures",seed,,2016,4
1812,2016-04-27,railyatri,consumer internet,train related information portal,noida,"nandan nilekani, helion ventures, omidyar networks, blume ventures",private equity,,2016,4
1813,2016-04-27,ichr,consumer internet,mobile based children health information app,new delhi,undisclosed,seed,37336500.0,2016,4
1814,2016-04-27,murgency,consumer internet,medical emergency response app,mumbai,axilor ventures,private equity,,2016,4
1815,2016-04-28,the wedding brigade,consumer internet,online wedding information portal,mumbai,blume ventures & other unnamed investors,seed,49782000.0,2016,4
1816,2016-04-28,docsapp,consumer internet,online doctor discovery & chat platform,bengaluru,"rebright partners, anand rajaraman, venky harinarayan",private equity,99564000.0,2016,4
1817,2016-04-29,impact guru,consumer internet,online crowdfunding platform for ngos & social projects,mumbai,"rb investments, fundnel",seed,41485000.0,2016,4
1818,2016-04-29,letreach,ecommerce,ecommerce saas solutions,new delhi,vcommission,private equity,8297000.0,2016,4
1819,2016-01-03,driveu,consumer internet,chauffeurs discovery for private car owners,bengaluru,unitus seed fund,seed,,2016,1
1820,2016-01-03,gympik,consumer internet,"fitness centres, gym discovery online marketplace",bengaluru,roundglass partners,private equity,,2016,1
1821,2016-01-03,testbook,consumer internet,online test preparation platform,mumbai,s chand & co,private equity,,2016,1
1822,2016-01-03,iqlect,technology,big data analytics platform,bengaluru,"lip-bu tan, michael marks, nicolas braithwaite",private equity,,2016,1
1823,2016-02-03,momark,consumer internet,mobile wallet aggregation platform,noida,yournest angel fund,private equity,49782000.0,2016,2
1824,2016-02-03,skedool,consumer internet,ai based office assistant mobile app,india/us,"kludein llc\\nphanindra sama, narayan ramachandran, pranav pai",seed,,2016,2
1825,2016-02-03,systemantics,technology,industrial robots maker,bengaluru,"nandan nilekani, accel",private equity,116158000.0,2016,2
1826,2016-03-03,vertuals,technology,audio visual digital content creators for brands,mumbai,dino morea,seed,,2016,3
1827,2016-03-03,imarticus learning,education,financial services & analytics education institute,mumbai,"blinc advisors, amit nanavati, tashwinder singh, taranjit jaswal, amit khanna",private equity,82970000.0,2016,3
1828,2016-03-03,shouut,consumer internet,social discovery mobile app,new delhi,undisclosed,seed,41485000.0,2016,3
1829,2016-04-03,tinystep,consumer internet,parenting social network platform,bengaluru,matt glickman,private equity,,2016,4
1830,2016-04-03,aahaa,ecommerce,office products super store,chennai,"yournest angel fund,",private equity,82970000.0,2016,4
1831,2016-04-03,arcatron mobility,technology,smart wheelchair design and development,pune,"sudhir mehta, anoop hingorani",seed,,2016,4
1832,2016-04-03,ftcash,consumer internet,mobile payments platform,kolkata,ivycap ventures,seed,12445500.0,2016,4
1833,2016-04-03,civilsdaily,consumer internet,civil services news aggregator,new delhi,undisclosed,seed,,2016,4
1834,2016-04-03,zappka,consumer internet,mobile app discovery and review platform,gurgaon,"daman soni, rajat gupta & others",seed,8297000.0,2016,4
1835,2016-04-03,tarusa world,ecommerce,handicraft products etailer,mumbai,mohit gulati,seed,,2016,4
1836,2016-04-03,medecube,healthcare,healthcare related services provider,gurgaon,artiman ventures,private equity,331880000.0,2016,4
1837,2016-07-03,n.o.w,consumer internet,bike taxi service & hyperlocal delivery app,noida,"ruchirans jaipuria, anuj sanghi",seed,41485000.0,2016,7
1838,2016-07-03,ninjacart,ecommerce,b2b marketplace for farmers & retailers,bengaluru,"accel, qualcomm ventures, m&s partners, zop smart",private equity,248910000.0,2016,7
1839,2016-07-03,reach,consumer internet,cross platform p2p file sharing mobile app,bengaluru,"rebright partners, sol primero, sudhir anandarao, ankur warikoo, ankur singla",seed,41485000.0,2016,7
